인물,대사
해미,언제 그랬는지 말씀 좀 해주세요. 정말 몰라서 그래요. 알아야 담부터 안 그러죠 저도. 꽁하고 그러고 계시지만 말고..
문희, 그거 그거.. 너 그 말투..
해미,말투요? 어떤 말투요?
문희,시에미한테 꽁하고.. 그런 말.. 그렇잖니..
해미, 아 그런게..  그럴 수도 있겠네요. 또요? 또 어떤 게 있는데요?
문희, 항상 그래 항상.. 그래두 나 혼자 있을 때 그러는건 원래 그러려니 이해를 하겠어..
해미,딴 사람들 앞에서요? 제가 언제요?
해미,돌잔치날도 제가 그랬단 말이죠? 비디오가 있으니까 잘됐네요. 보시면서 생각나는 거 있으면 말씀하세요.
문희,뭘 그렇게까지... 
문희,저... 저기.
해미, 저기요?
이모,한복 곱다. 어디서 맞춘거야?
문희,이쁘지. 이게 김..
해미, 김삼순 한복집이라고 아시죠?
문희, 스톱...
문희,너 저런 식으로 내가 말하는데 잘라먹는거.. 저거 좀 버릇없다 싶고..
해미,아... 그런가요?
문희,이모들 앞에서 저렇게 내 말을 잘라버리면 내 체면이 뭐가 되니..
해미,음...  오케이. 무슨 말씀인지 알겠어요. 계속 볼께요.
해미,그만 드세요 어머님. 과식하는 습관이 얼마나 위에 부담을 주는데요.
문희,스톱..
해미,여기요? 왜요? 
문희,저거두 그래.. 너 맨날 말끝마다 아시겠어요..? 저거 좀 안 할 수 없니..? 내가 너한테 뭐 배우러 온 사람도 아니고..
해미,그냥 별 뜻없는 말인데.
문희,같은 말이래도 ‘제 생각엔 그래요’ ‘그렇지 않나요’ 이럼 좋잖아..
해미,아.. 그게 그렇게 거슬리는 말인가..?  오케이. 알겠어요 어머님. 또 있어요?
문희,많아... 
문희,얘 오늘 점심도 시원찮게 먹었는데 그냥 더 먹게 놔두지.
해미, 오케이! 좋은 날인데 그럼 그렇게 하죠. 
문희,스톱..
해미,저게 왜요?
문희,난 솔직히 저게 젤 싫어..  오케이. 이거 좀 안할 수 없냐?
해미,아...  어떻게 생각하면 그럴수도 있겠네요. 오케.. 알겠어요 어머님. 다음부턴 주의할께요.
문희,잠깐만..  이거 말고.. 비디오테잎이 또 있을텐데... 기다려봐... 
민용,서선생님. 무슨 일 있어요?
민정,아무것도 아니에요.
민용,왜요? 애들하고 잘 안됐어요?
민정,모르셔도 돼요.
민용,네. 모를게요.
민정,..저기..
민용,네?
민정,애들 앞에서 엄하게 하려는데 그게 잘 안되네요.
민용,그래요?
민정,전 아무래도 그런데 소질이 없나봐요.
민용,노력하면 안 되는 일이 어디 있어요.  이거.  이거 하나면 다 해결됩니다.
민정,이걸루요?
민용,왜 매 앞에 장사 없다고.. 딱 기선제압 하고 들어가는 거죠.
민정,그럼 이거 좀 빌려주실래요?
민용,그냥 가지세요.
민정,이선생님은요?
민용,전 뭐..  또 있습니다.
교감,이선생. 이거 봐. 유학 간 우리 딸이 보낸 거야. 엽서 이쁘지?
민용,러시아네요. 저 개인적으로 러시아 아주 증오합니다.
신지,없잖아.. 없어...여권도 없고 돈도 없고.. 하 씨...어떻게 된거야...  혹시 그 자식이 가져갔나..? 설마..
신지,하 그 자식이!! 이 나쁜 자식!!! 이 나쁜 자식!! 
러시아남, 유리 어제 그만뒀는데요. 상페테스 부르그로 간다던데..
신지,나쁜 새끼.. 쫄바지만 입고 다닐때부터 알아봤어야 되는데..
신지,..... ...준이야... 
문희,2시까지 온다구? 그래 알았어. 우리 집 다 알지? 응. 
해미,누가 오세요?
문희,아... 계모임 친구들.. 태국여행 가는데 공항 가기 전에 우리집에 들른다네.
해미,네에.  어머님 오늘 친구분들 오시면요 저 이번엔 잘 할께요. 어제 비디오테잎 분석하면서 싹 머릿속에 입력했어요.
문희,얘는 뭘...  그렇게까지 또..
해미,아녜요 왜~ 
문희, 그래 애가 심성이 나쁜애는 아닌데..
민정, 조용히 해!
민정,앞으로 나도 말 안 듣고 안 따라오는 애는 매로 다스리기로 했어. 알았어?
애들,....
민정,알았냐고?! 
애들, 네..
민정, 오케이~ 이건 통한다 통해~  어제 자습 빠진 녀석들 다 나와.
민정,니들 내가 자습 빠지면 어떡한다 그랬어?
윤호,별 다른 말씀 없으셨는데요.
민정,뭐? 아무튼.. 학생이 조용히 자리를 지켜야될 거 아냐?! 손바닥 내밀어!
윤호,네?
민정,손 내라고!  엄마야!
윤호,사정이 여의치 않으실 거 같네요..
민정,시끄러! 사정이 뭐가 여의치 않아! 손 내! 
윤호,진짜요? 
민정,왜 맘대로 자습 빠져!  아!!
윤호,왜 그러세요?
민정,가시 아야...  가시 박혔어 가시 아...
윤호,봐요.
민정, 아. 아..
윤호,가만 있어봐요. 
민정,아무튼 너.. 아..아.. 살살해. 아프단 말야. 아아.. 
애들,선생님 운다~
민정, 울긴 누가 울어?! 니들 조용히 해....
문희,들어와 들어와~
해미,어머 안녕하세요.
친구1, 어유 오늘 병원에 안 나갔구나.. 난 모르고..
해미,네. 오늘은 진료 없는 날이에요.  앉으세요.
친구들,아유.. / 괜히 방해했나.. / 괜히 왔나..
해미,아니예요. 차 내올까요 어머님?
문희,어 그래..
해미,녹차 좋으시죠?
문희,어? 어.. 커피 반 녹차 반 내와라.
해미,커피는..  네 어머님.. 
친구1,자기 큰며느리 오늘 좀 달라보인다?
문희,"뭐가?  얘, 망고 있지? 망고도 좀 내와라."
해미, 네 어머님.
문희,아 자기들 화과자 먹을래? 얘 참 화과자 남은거 그거도 좀 갖고와라.
해미,다 먹었는데 좀 사오죠 뭐. 제가 금방 사올께요 어머님.
문희, 어 그럴래?  아유 다들 여행간다고 꽃단장은~
민정,서민정. 너 여기서 무너지면 끝이야. 당당하게 맞서야 돼.. 약해지면 안돼.. 그래 힘 내자.
친구3,그래서 똥 싸는 소리 하고 있네~ 그랬더니 얼굴이 벌개지는거야~
친구들,아하하~ / 아유 속이 다 시원하네~ / 잘했어 잘했어~
해미,어머님 화채 좀 내올까요?
문희,그러든지.
친구1,아유 괜찮은데.. 안 바빠요?
해미,네. 드시고 싶은 거 있으시면 말씀하세요. 
친구3,아유 상냥하고.. 공손하고.. 자기 며느리 잘 봤다.
친구4,듣던 거랑 영 달라. 난 이집 큰 며느리 좀 세다고 들었는데?
친구3,그러게?
문희,누가 그래? 뭘 모르고 한 소리지.. 원래 애가 착해.
친구3,부럽다 자기 며느리복 있나봐. 우리집 년들은 싸가지가 바가지야..
해미, 어머님 제가 받을까요?
문희,그래라.
해미,네 흑석동입니다.
여1, 거기 혹시 저.. 상규 할머니.. 계신가요?
해미,아 네. 상규 어머니 되세요? 바꿔드릴까요?  네?  네? 몇시까지요? 네?!!
해미,저기요! 저 좀 주목해주세요~
해미,여기 주목!!! 
해미,잠시 주목해주세요!
문희,왜 그러냐 너..
해미, 어머님 조용.  오늘 공항 가시는 분들이 누구누구세요? 손들어 보세요!
문희,공항? 순이할매 빼고..
해미, 손들어 보세요 얼른!
해미,비행기 시간이 5시라면서 여기서 지금 뭐하고 계세요?
친구들,지금이 몇신데? / 어머 어머 어떡해! 4시 다됐어!! / 어마나 클났다~!
해미,조용 조용!  모두 합죽이가 됩시다 합!
해미,합!
친구들,합.
해미,일단 여권 챙겼는지 확인하세요. 여권 꺼내보세요.
친구들,여권... / 
문희,얘 요 앞에 공항버스 금방 가잖...
해미, 가만 좀 계세요!
해미,빨리 여권 꺼내보세요 빨리!
친구2,여권 여기.. 
해미, 오케이. 오케이. 오케이. 오케이. 자 시간이 없으니 일사불란하게
친구들, 내꺼야~/ 아구 밀지마.
해미,남의 꺼 신경쓰지말고 자기꺼만 챙기세요!  순이할머님은 빠지시고~
해미,약국앞에서 우회전이요..
문희,얘 차라리 사거리에 나가서 공항버스..
해미, 여기요 여기!!
해미,자 빨리 타세요! 혜준할머니 앞에!
친구2, 나?
해미,빨리 빨리! 
친구2,아유 우리 영감인데!
해미,하나 둘 셋 넷.. 오케이.
친구1,혜준아 면세점 가면 우리 손녀가..
해미,어허~  아저씨 인천공항 가는 데요.
택시기사,그럼 사거리..
해미, 잠깐만 제 말 들으세요. 여기서 우측으로 가시다가 두번째에서 좌회전하시면 굴다리 나오거든요?
택시기사,아니 그보다 저 사거리..
해미, 제 말 들으세요 글쎄!! 굴다리로 가시라구요! 그게 제일 빠르니까 아시겠어요? 아셨어요?
택시기사, 네..
해미,4시 10분까진 도착해야 돼요.
문희, 상규할멈 공항가면 전화하고..
해미, 고고고!! 빨리 빨리!! 
친구1,이런 말 해도 화 내지마.. 자기 큰 며느리.. 정말 정말.. 쎄다..
민용,이 자식들이 ..수업 안하고 뭐하는거야?
범,선생님이 안 들어오시는 걸 어떡해요.
민용,왜 안들어오셔?
민호,몰라요. 교무실에도 안 계세요.
민용,그럼 찾아봐야될 꺼 아냐 이 자식들아!! 담임선생님이 행방불명인데 신났냐? 
민용, 니놈들이 얼마나 괴롭혔으면 선생님이 도망을 가! 선생님 못 찾으면 바로 타작할 줄 알아! 
민호,도대체 어디 간거야?
범,선생님~ 선생님 어디 계세요~
윤호,좀 나오세요 제발!
윤호,선생님~ 그만 나오세요~ 이제 안 놀릴께요~
민호,선생님~
윤호,선생님~ 선생님~ 
민정, 윤호야... 나 여깄어..
윤호, 선생님?  야 찾았다~
민정, 애들 부르지 마!!
윤호,왜요? 무슨 일이예요?  거기서 뭐하세요?
민정,......
윤호,선생님?
민정, 저기 있잖아...
윤호, 네 선생님 말씀하세요.
민정, 저기.. 나..
윤호,네.
민정, 나 한달에 한번 있는 마법에.. 걸렸거든..
민정, 너만 알고 있어.. 아무한테도 말하면 안돼.. 응?
윤호,네..
민용,얌마 너 어디 가?!!
윤호,삼촌 선생님 찾았어!
민용,찾았는데 넌 왜 나가?
윤호,생리대 사러~
민용,뭐?
윤호,날개달린 걸로 사오래~
해미,네 수고는 뭘. 상규어머니도 푹 쉬세요. 네.  어머님 친구분들 비행기 잘 타셨대요.
문희,어.. 
준하,어디 가세요?
문희,어 잠깐... 
점쟁이,박해미.. 며느리라구?
문희,네...
점쟁이,아주 기가 하늘을 찌르는구만.
문희,네?
점쟁이,기가 왜 이렇게 쎄 이거? 이거 완전 불바다야.
문희,그럴 줄 알았어요 그럼 어떡해요?
점쟁이,그냥 포기하고 살어. 평생 상전으로 모시고 살아야지 주변사람들이 안 받아들이면 자기들만 힘들어.
문희,그럼 어떡해요~ 기 누르는 부적이라도 좀 만들어줘요.
점쟁이,이런건 부적도 소용없어. 그냥 받아들이라구.
문희,이렇게 어떻게 평생 살라구~ 나 아주 힘들어 죽겠어요 뭐라도 좀 써 줘봐요. 네? 
해미,성공했어요?
준하, 아니.
문희,병원에 가야 되는거 아니냐? 가서 관장이라도..
해미, 으으음~ 그건 최후의 방법이구요. 어떻게든 자연스럽게 나오는게 좋죠.
문희,애비 얼굴을 봐. 흙빛인 게 뭔 일 나겠잖아~
준하,계속 신호는 오고 있으니까 좀 있음 나올거 같기도 한데..
순재,아 고만 좀 해! 밥상머리에서 드럽게 뭔소리들이야?
문희,아 얘가 뒤가 꽉 막혀가지고 죽을라 그러는데 당신은..
순재,시끄러! 그런거 갖고 안죽어! 그러고 막혔다는 놈이 왜 이렇게 잘 처먹어?
준하,.... 
순재,이거 이거 또 삐친다. 삐돌이 같은놈.
준하,삐친 거 아니구 배가 아파서.. 여보 나 그냥 물 말아 먹을래.
윤호,아빠 힘내요! 까짓것 남자답게 한 방에!
민호,"야, 너 지금 아빠 놀리냐?"
윤호,뭐? 이게.. 
순재,넌 뭐야? 형한테 이게가 뭐야 이놈 자식이..
민호, 맨날 그러는데요 뭐.. 됐어요 이제 익숙해져서..
순재,뭐? 너 아직도 형한테 형이라고 안하고 그래?
윤호,해요..
민호, 안하면서..
순재,이자식이 이거! 내가 그렇게 얘기했는데도!  담에 또 그러면 나한테 당장 얘기해!
민호,예 할아버지..
윤호,하.. 
똥, 셰익스피어는 인생을 한편의 연극에 비유했습니다.
똥, 저로 인해 이 집 식구들이 오늘 겪게 되는 어이없는 상황들처럼 말입니다.
똥, 제가 누구냐고요? 전... 이 남자가 품고 있는.. 그것.
똥, 네 그렇습니다. 전 변입니다. 보통 똥이라고 하죠..
교감,어이 이선생.
민용,네?
교감,난 다 봤어. 에이 젊은 사람이 어쩜 그렇게 정직해 사람 참..
민용,죄송합니다..
민정,이선생님~
민용,아 서선생님. 회의 특별한 내용 없었죠?
민정,네 그보다 이거요.  신지 러시아 집 전화 번호요~
민용,에? 
민정,금요일날 저한테 전화왔었거든요.
민용,기집애 드디어 씨...! 
민정,근데요 집에 있는 때가 별로 없다고 밤 11시 이후에 해 달라던데요.
민용,에? 아니 지가 뭐라고 시간까지 정하고..! 아주 웃기고 자빠졌네 보자보자하니까.
민정,왜 그러세요 배려해서 한 소린데 까칠하게..
민용,제 삶의 모토가 원래 까칠이예요 왜요.
교감, 역시. 그럴 줄 알았어. 삶의 모토가 너무 훌륭하잖아.. 사람 참.. 굿이야 굿.
민용,.....
증권전문가, 다음은 전자통신종목인데요. 전반적으로 보합세입니다만
순재, 어!!? 
순재,야 준하야! 야!
준하,아버지 저 화장실 있어요!
순재,야 얼른 나와 봐! 얼른! 지금 큰일 났어!
준하,왜요?
순재,봉원전기 팍팍 떨어지고 있어. 저거 지금이라도 빨리 팔아~ 빨리 나와~
준하,나갈 수가 없어요. 좀만 기다세요 저 지금.. 죽겠어요.
순재, 야! 나와! 지금 똥이 문제냐? 내 돈 다 날라가게 생겼는데! 빨리 나와!
준하,겨우 지금 신호가 왔단 말예요. 조금만...
똥, 아직 신호를 보낸적이 없는데.. 이제 그만 나갈까요?
똥, 싫습니다. 아직 나갈 맘이 안 나네요.
순재, 야 임마! 에이 씨! 
순재,니가 안 팔면 내가 판다 이놈아. 근데 이거 어떻게 파는거야. 이건가?
순재, 이거 뭐야? 이거 왜 이래? 나 안 눌렀는데?!!
준하, 하.. 정말 오질라게 안 나오네..
준하,뭐하시는거예요? 사용법도 모르면서~
순재,야 이거 지금 내가 봉원전자 판게아니라 산거냐... 설마 내가 산거야?
준하,아 뭐야.. 500주나 매수했네요?
순재,이런! 팔어! 다시 팔어줘 얼른!
준하,이미 체결되고 장마감됐는데요 뭐.
순재,하...
준하,그러게 알지도 못하시면서 왜 손대세요?
순재,아 씨 이거 지금 얼마를 손해본거야?
준하,대략..천...?
순재,뭐?! 천?
준하,그러게 그냥 좀 기다리시지.
순재, 이게 다 너 때문이야! 왜 남들 다 싸는 똥하나 제대로 못 싸서 이 난리야! 아 열불 터져 아..
준하,아... 
순재,또 어디 가?!
준하,신호가..
순재,야 이 자식아 너 화장실에서 나오지 마! 거기서 살어! 어!
민용,이성적으로 용건만 간단히. 안 그럼 또 걔한테 말려들지..  난데. 지금부터 내가 하는 말
찬성,선생님 운동장 열바퀴만 뛰면 안돼요?
민용, 시끄러!
민용,입 닥치라고! 자꾸 여러말 하게 만들지 마!!
민용,전세금 즉시 안 보내면 가만 안 있는다! 나 인터폴에 너 신고할꺼야 진짜!  이 정도면 알아듣겠지..?
준하,나 있어.
민호,아빠 좀 나와. 나 급해!
준하,안돼. 나 지금 막 신호가 왔단 말야.
민호,그 신호 난 쭉 받으면서 왔어. 얼른 좀 나와봐 얼른!
준하,병원에 가서 해결해. 나 나갈려면 멀었어.
민호,아 씨... 
유미, 민호야.
민호, 어 유미야..? 왠일이야?
유미,나 수학 좀 가르쳐줄래? 숙제가 영 이해가 안되서.
민호,그래..? 아..그럼 여기서 기다릴래? 나 잠깐만..
유미,어디 갈려구?
민호,어? 아니 저 잠깐..
유미,아 그럼 됐다. 나두 금방 가야돼서.
민호,어? 아냐 아냐~ 급한 거 아냐~ 들어가자~ 
